station,province,lat,lon,coord_source,1911_n,1911_cap,1912_n,1912_cap,1913_n,1913_cap,1914_n,1914_cap,1915_n,1915_cap,1916_n,1916_cap,1917_n,1917_cap,1918_n,1918_cap,1919_n,1919_cap,1920_n,1920_cap,1921_n,1921_cap,1923_n,1923_cap,1924_n,1924_cap,1925_n,1925_cap,1926_n,1926_cap,1927_n,1927_cap,1928_n,1928_cap,1929_n,1929_cap,1930_n,1930_cap,1939_n,1939_cap,1940_n,1940_cap,1941_n,1941_cap,1943_n,1943_cap
Methven Jct,MANITOBA,49.61917,-99.73444,agent_high,,,,,,,,,,,1,32000,,,1,32000,1,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methven Junction,MANITOBA,49.61917,-99.73444,agent_high,1,32000,1,32000,1,32000,1,32000,1,32000,,,1,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metiscow,ALBERTA,52.40861,-110.63333,agent_high,,,,,,,,,1,8000,2,55000,2,60000,2,55000,2,55000,2,55000,2,55000,2,55000,2,55000,,,,,,,,,,,,,,,,,,,,
Metiskow,ALBERTA,52.40861,-110.63333,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55000,2,55000,2,55000,3,90000,3,118000,3,112600,3,112000,3,112000,6,228000,3,114000
Meunster,SASKATCHEWAN,52.19118,-104.9938,agent_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,102000,,,,,,,,,,
Meyerthorpe,ALBERTA,53.95472,-115.13806,agent_high,,,,,,,,,,,,,,,,,,,,,1,35000,1,35000,1,35000,1,35000,2,65000,2,65000,3,100000,,,,,,,,,,,,
Meyronne,SASKATCHEWAN,49.66902,-106.83958,cgn_direct,,,,,3,80000,4,110000,4,110000,5,135000,,,5,135000,5,135000,4,118000,4,118000,5,148000,6,178000,6,178000,6,170000,6,170000,1,,6,170000,6,166000,3,70000,3,71000,6,152000,3,76000
Mezappa,ALBERTA,,,,,,,,,,,,,,,,,,2,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mfg. E,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,31000,,,,,,,,,,,,,,
Miami,MANITOBA,49.37111,-98.24389,cgn_direct,3,97000,3,89000,3,89000,4,90000,4,90000,1,,4,107000,,,4,73000,4,100000,4,100000,3,95000,3,95000,3,95000,1,30000,3,60000,,,1,,2,60000,2,68000,2,68000,4,138000,2,69000
Miami..... E.S,MANITOBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,60000,,,,,,,,,,,,
Michichi,ALBERTA,51.58528,-112.53361,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,152600,6,298000,3,149000
Midale,SASKATCHEWAN,49.39638,-103.4107,cgn_direct,3,80000,3,85000,3,80000,3,80000,3,80000,2,55000,2,50000,3,80000,3,80000,3,85000,3,85000,3,85000,3,85000,3,85000,4,105000,4,105000,1,,4,115000,4,110000,3,77000,3,75000,6,144000,3,72000
Middle Lake,SASKATCHEWAN,52.48277,-105.30791,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,45000,2,85000,2,105000,4,210000,2,105000
Midland,ONTARIO,44.75028,-79.88361,cgn_direct,,,,,,,,,,,,,1,1000000,1,1000000,1,3000000,,,,,,,,,,,,,1,2000000,1,2000000,1,4000000,4,13500000,2,8250000,2,8250000,4,16500000,2,8250000
